name,falsePositive,truePositive
frame_1223.jpg,True,False
frame_1224.jpg,True,False
frame_1227.jpg,False,True
frame_1228.jpg,False,True
frame_123.jpg,True,False
frame_1232.jpg,True,False
frame_1233.jpg,False,True
frame_1234.jpg,False,True
frame_1235.jpg,False,True
frame_1236.jpg,False,True
frame_1237.jpg,True,False
frame_124.jpg,True,False
frame_1241.jpg,True,False
frame_1247.jpg,True,False
frame_125.jpg,True,False
frame_1253.jpg,False,True
frame_1254.jpg,False,True
frame_1255.jpg,False,True
frame_1256.jpg,False,True
frame_1257.jpg,False,True
frame_1258.jpg,False,True
frame_1259.jpg,False,True
frame_126.jpg,True,False
frame_1260.jpg,False,True
frame_1265.jpg,False,True
frame_1266.jpg,False,True
frame_1269.jpg,False,True
frame_1271.jpg,True,False
frame_1273.jpg,True,False
frame_1274.jpg,True,False
frame_1275.jpg,False,True
frame_1295.jpg,True,False
frame_133.jpg,True,False
frame_1387.jpg,False,True
frame_1396.jpg,False,True
frame_1397.jpg,True,False
frame_1398.jpg,False,True
frame_1399.jpg,False,True
frame_1400.jpg,False,True
frame_1401.jpg,False,True
frame_1402.jpg,False,True
frame_1404.jpg,False,True
frame_1405.jpg,False,True
frame_1408.jpg,False,True
frame_141.jpg,True,False
frame_1415.jpg,False,True
frame_1496.jpg,False,True
frame_1497.jpg,False,True
frame_1499.jpg,False,True
frame_150.jpg,False,True
frame_1501.jpg,False,True
frame_1502.jpg,False,True
frame_1503.jpg,False,True
frame_1507.jpg,False,True
frame_1508.jpg,False,True
frame_151.jpg,False,True
frame_1510.jpg,False,True
frame_1511.jpg,False,True
frame_1512.jpg,False,True
frame_1513.jpg,False,True
frame_1514.jpg,False,True
frame_1515.jpg,False,True
frame_1516.jpg,False,True
frame_1517.jpg,False,True
frame_1518.jpg,False,True
frame_1519.jpg,False,True
frame_152.jpg,False,True
frame_1520.jpg,False,True
frame_1525.jpg,False,True
frame_1528.jpg,True,False
frame_1529.jpg,False,True
frame_1534.jpg,False,True
frame_1535.jpg,False,True
frame_1536.jpg,False,True
frame_1537.jpg,False,True
frame_1538.jpg,False,True
frame_1539.jpg,False,True
frame_154.jpg,False,True
frame_1540.jpg,False,True
frame_1541.jpg,False,True
frame_1543.jpg,False,True
frame_1549.jpg,False,True
frame_1550.jpg,False,True
frame_1554.jpg,False,True
frame_1555.jpg,False,True
frame_1556.jpg,False,True
frame_1557.jpg,False,True
frame_1558.jpg,False,True
frame_1559.jpg,True,False
frame_1560.jpg,True,False
frame_1563.jpg,False,True
frame_1565.jpg,True,False
frame_157.jpg,False,True
frame_1589.jpg,True,False
frame_159.jpg,False,True
frame_1590.jpg,True,False
frame_160.jpg,False,True
frame_161.jpg,False,True
frame_1614.jpg,True,False
frame_1615.jpg,True,False
frame_1616.jpg,True,False
frame_1617.jpg,False,True
frame_1618.jpg,False,True
frame_1619.jpg,False,True
frame_162.jpg,False,True
frame_1620.jpg,False,True
frame_1624.jpg,False,True
frame_1627.jpg,False,True
frame_1628.jpg,False,True
frame_1629.jpg,False,True
frame_163.jpg,False,True
frame_1630.jpg,False,True
frame_1631.jpg,False,True
frame_1634.jpg,False,True
frame_1636.jpg,False,True
frame_1638.jpg,False,True
frame_1639.jpg,True,False
frame_164.jpg,False,True
frame_1640.jpg,False,True
frame_1641.jpg,True,False
frame_1642.jpg,True,False
frame_1649.jpg,False,True
frame_165.jpg,False,True
frame_166.jpg,False,True
frame_168.jpg,False,True
frame_169.jpg,False,True
frame_17.jpg,True,False
frame_170.jpg,False,True
frame_171.jpg,False,True
frame_172.jpg,True,False
frame_173.jpg,True,False
frame_174.jpg,True,False
frame_1748.jpg,False,True
frame_1749.jpg,False,True
frame_175.jpg,True,False
frame_1750.jpg,False,True
frame_1753.jpg,False,True
frame_1756.jpg,False,True
frame_1757.jpg,False,True
frame_176.jpg,True,False
frame_1761.jpg,False,True
frame_1762.jpg,False,True
frame_1763.jpg,False,True
frame_1765.jpg,False,True
frame_1766.jpg,False,True
frame_1767.jpg,True,False
frame_1768.jpg,True,False
frame_177.jpg,True,False
frame_178.jpg,True,False
frame_1782.jpg,True,False
frame_1786.jpg,True,False
frame_1791.jpg,True,False
frame_1792.jpg,False,True
frame_1793.jpg,False,True
frame_1794.jpg,False,True
frame_1795.jpg,False,True
frame_1797.jpg,False,True
frame_1799.jpg,False,True
frame_1800.jpg,True,False
frame_1801.jpg,False,True
frame_1802.jpg,True,False
frame_1803.jpg,True,False
frame_1807.jpg,True,False
frame_1819.jpg,True,False
frame_1831.jpg,False,True
frame_1843.jpg,True,False
frame_1844.jpg,False,True
frame_1845.jpg,False,True
frame_1846.jpg,False,True
frame_1847.jpg,False,True
frame_1848.jpg,False,True
frame_1852.jpg,False,True
frame_1853.jpg,False,True
frame_1858.jpg,False,True
frame_1864.jpg,False,True
frame_1865.jpg,False,True
frame_1866.jpg,False,True
frame_1867.jpg,False,True
frame_1868.jpg,False,True
frame_1869.jpg,False,True
frame_1870.jpg,False,True
frame_1872.jpg,False,True
frame_1874.jpg,False,True
frame_1875.jpg,False,True
frame_1876.jpg,False,True
frame_1877.jpg,False,True
frame_1878.jpg,False,True
frame_1879.jpg,False,True
frame_1880.jpg,True,False
frame_1883.jpg,True,False
frame_1884.jpg,True,False
frame_1885.jpg,True,False
frame_1886.jpg,True,False
frame_1887.jpg,True,False
frame_1888.jpg,True,False
frame_1890.jpg,False,True
frame_1891.jpg,True,False
frame_1892.jpg,True,False
frame_1903.jpg,True,False
frame_1904.jpg,True,False
frame_1906.jpg,True,False
frame_20.jpg,False,True
frame_21.jpg,False,True
frame_210.jpg,False,True
frame_2100.jpg,False,True
frame_2101.jpg,False,True
frame_2102.jpg,True,False
frame_2103.jpg,True,False
